salary;age;elevel;car;zipcode;credit;brand
5.598.203.847;60;3;2;1;5.086.917.995;0
1.332.797.834;41;2;15;6;260.987.137;1
2.501.138.899;20;4;3;7;2.827.426.841;1
4.101.073.299;62;4;9;4;4.765.102.101;1
1.485.187.501;52;1;17;8;2.939.162.145;1
1.403.902.986;69;2;7;6;2.354.108.935;1
1.068.410.035;78;3;2;5;3.862.223.608;1
905.370.496;35;1;2;2;3.020.569.251;0
379.101.441;20;3;1;1;3.994.645.848;1
9.242.259.324;52;2;8;2;308.886.506;0
150000;31;4;18;5;2.497.905.327;1
6.693.852.234;47;1;11;8;1.519.815.057;1
8.838.743.138;80;1;11;1;8.233.327.718;1
2.906.081.025;45;2;9;8;4.061.645.896;1
1.075.925.351;33;2;6;5;1.698.473.343;1
2.747.832.781;69;3;8;1;500000;0
1.456.838.368;41;3;9;7;2.715.961.632;1
1.198.886.319;41;0;3;6;3.287.790.399;0
1.287.511.452;66;0;2;0;3.940.109.906;1
1.026.441.368;72;1;6;0;2.796.557.691;1
508.878.217;55;0;20;2;3.291.720.321;1
8.479.630.592;24;2;19;2;1.677.413.617;0
1.123.101.495;75;1;3;6;1.619.466.083;1
1.325.306.515;25;1;5;4;1.458.123.485;1
2.352.041.143;72;2;8;7;3.133.186.606;0
2.981.980.482;57;4;4;4;1.867.451.407;1
774.688.675;65;4;20;8;2.471.470.116;1
6.805.464.082;61;1;20;3;2.773.005.101;0
20000;41;0;10;2;4.856.445.931;1
950.479.237;79;4;8;2;329.922.743;1
1.304.551.561;56;4;20;1;9.229.937.273;1
1.057.587.208;75;1;15;1;1.482.385.897;1
6.986.126.466;80;1;15;0;1.460.503.559;0
9.568.825.285;29;2;13;3;2.472.805.348;0
1.403.237.074;33;1;20;2;1.355.519.597;1
680.533.894;44;4;18;2;1.449.306.728;1
1.391.932.134;69;0;13;4;0;1
150000;56;1;7;4;3.730.501.477;1
1.014.450.105;23;2;15;2;2.436.887.018;1
7.759.774.445;54;2;11;7;210.081.964;0
5.466.119.921;32;0;18;7;1.682.183.817;0
8.140.764.171;31;4;14;8;3.296.443.365;0
6.717.656.667;21;0;5;1;348.279.437;0
1.420.050.501;47;2;6;8;1.094.048.217;1
1.031.586.319;44;1;5;0;2.447.905.043;0
5.855.551.104;62;2;19;3;3.896.871.404;0
5.038.849.414;41;0;3;5;4.599.175.741;1
3.148.872.297;39;0;18;5;1.808.179.448;1
4.853.688.348;22;2;8;1;461.203.939;1
5.974.260.873;25;0;17;5;4.401.567.453;0
9.873.784.065;65;3;18;3;2.082.538.972;1
4.486.338.388;70;4;15;3;1.539.453.747;0
4.877.781.068;28;0;15;7;500000;0
5.933.100.983;70;3;4;2;1.523.128.766;0
1.273.672.236;78;0;11;2;2.520.115.877;1
1.217.758.335;30;1;11;8;0;1
1.381.788.772;53;4;20;3;1.028.481.931;1
5.821.101.619;60;1;1;7;4.988.167.148;0
1.272.871.331;28;1;17;2;9.689.841.995;1
4.405.764.317;68;4;12;6;4.102.607.621;0
5.439.440.177;28;4;7;4;4.635.165.896;0
6.866.861.837;29;0;8;4;4.264.091.721;0
930.552.053;45;3;3;8;4.413.125.215;0
742.721.252;38;2;6;2;2.711.969.087;0
6.836.651.769;43;4;14;2;3.554.131.987;1
9.062.679.709;24;4;3;0;2.887.003.295;0
312.424.138;77;4;8;5;7.041.016.331;0
130.119.761;46;0;1;1;2.771.300.322;1
417.860.207;30;4;16;2;121.711.702;1
5.213.816.018;49;2;15;5;2.982.948.226;1
8.688.299.922;26;1;3;7;500000;0
4.948.010.439;63;3;8;4;9.513.523.405;0
1.053.692.255;40;3;4;4;3.680.524.678;0
1.078.821.445;20;2;7;1;6.406.067.396;1
7.939.377.022;51;3;4;5;3.275.411.979;0
1.100.977.753;79;4;12;5;2.828.910.917;1
1.078.874.497;42;3;3;3;1.067.107.235;0
9.616.032.369;61;2;6;3;3.281.705.307;1
6.192.603.154;62;2;2;2;3.539.039.806;0
8.924.867.214;42;4;15;0;4.534.433.871;0
1.206.899.804;34;4;6;1;3.702.934.318;1
7.390.688.111;32;4;17;8;4.991.643.429;0
3.028.409.299;22;4;13;7;2.807.172.947;1
1.090.934.971;78;2;11;0;2.906.467.968;1
976.016.357;71;2;17;0;4.195.762.768;1
1.067.704.341;73;0;17;3;2.298.774.052;1
7.537.826.838;49;0;19;6;9.252.998.293;1
1.019.450.692;49;1;2;5;4.236.751.601;0
6.163.436.353;40;0;16;0;193.099.202;0
8.759.062.225;26;1;4;8;4.920.692.417;0
7.302.674.521;25;4;14;3;5.641.310.219;0
1.154.568.145;69;2;19;1;4.022.061.683;1
5.166.738.702;70;2;1;8;3.479.670.229;0
1.271.915.922;39;0;18;1;1.668.390.287;1
1.342.655.064;64;0;14;6;2.167.157.577;1
7.725.230.572;30;1;14;6;3.692.662.609;0
3.215.730.871;40;3;8;8;4.274.144.693;1
1.014.262.983;20;4;15;1;1.446.858.191;1
3.132.701.506;37;3;14;5;2.444.955.525;1
9.133.160.101;70;3;16;5;3.178.890.442;1
1.196.577.762;31;1;7;4;232.172.259;1
5.921.717.824;58;0;10;2;1.733.395.829;0
1.286.322.041;33;3;18;4;4.984.898.053;1
2.336.889.826;51;3;1;3;4.426.725.687;1
20000;34;4;18;3;1.347.100.769;1
101.699.427;67;0;4;2;166.498.081;1
130.758.152;74;3;16;6;1.706.605.457;1
104.663.798;77;1;19;2;3.091.248.861;1
6.392.248.979;34;4;11;3;3.893.794.122;0
1.409.248.071;80;2;3;0;2.992.657.607;1
394.435.188;20;3;20;8;1.466.884.045;1
7.837.865.633;42;2;7;1;2.030.909.077;0
1.067.956.744;58;2;4;8;1.378.976.149;1
3.314.832.585;70;2;2;1;4.362.167.408;0
1.400.876.923;78;2;2;5;3.603.428.861;1
1.406.125.067;50;2;13;6;2.766.397.362;1
7.286.735.203;67;4;10;5;3.011.892.593;1
9.456.446.832;34;1;5;2;4.073.314.248;0
115.429.476;57;0;1;4;1.454.215.062;0
5.562.066.204;71;4;17;6;477.419.175;0
3.334.736.033;70;0;14;6;482.101.269;0
3.921.495.888;46;2;12;5;2.513.820.715;1
5.286.681.021;73;1;6;5;6.138.959.241;0
2.417.867.841;75;2;8;2;7.548.825.598;0
4.511.638.819;28;4;16;6;2.817.002.304;1
2.756.206.748;27;1;17;1;1.566.197.207;1
1.275.042.488;47;4;6;5;4.223.838.784;1
3.582.131.543;58;2;11;3;327.520.885;1
8.631.361.526;63;0;19;5;4.575.288.196;1
150000;80;1;19;3;249.547.659;1
129.134.939;23;3;4;7;1.665.161.563;1
1.118.672.446;48;0;18;5;3.078.425.284;0
1.170.986.279;35;0;14;0;4.995.032.089;1
5.141.089.278;65;3;3;4;3.479.751.063;0
1.042.367.524;38;4;3;6;4.898.045.387;1
656.661.086;77;0;8;4;1.110.534.325;0
1.104.670.547;79;0;15;5;4.992.059.892;1
1.055.092.957;80;4;16;1;3.373.761.201;1
1.350.128.618;41;2;17;0;2.036.387.886;1
1.335.481.379;80;1;1;1;3.395.182.798;1
8.624.263.475;22;4;10;4;2.067.864.271;0
5.630.934.769;36;1;9;6;1.301.299.302;0
2.766.054.122;32;1;7;1;2.511.193.738;1
1.391.753.315;71;0;11;2;1.667.460.168;1
100.577.598;35;2;8;7;2.889.331.394;1
3.505.353.208;24;1;16;0;2.545.720.155;1
1.364.747.176;74;4;8;4;1.974.506.893;1
1.477.912.778;69;0;16;7;2.555.929.654;1
39.644.082;30;3;2;8;463.629.845;1
3.937.249.599;36;0;18;5;350532.37;1
2.657.325.429;58;0;12;2;2.530.956.447;1
1.496.308.909;75;3;3;4;2.649.087.865;1
7.217.950.889;20;4;18;5;1.275.089.578;0
79.986.354;49;3;2;6;500000;0
4.469.796.179;70;3;3;2;1.955.634.292;0
323.948.929;77;4;7;5;383.085.772;0
1.437.423.542;80;4;11;8;1.295.070.112;1
1.294.438.747;43;1;12;6;2.569.474.255;1
1.383.359.256;50;1;6;6;0;1
1.463.981.479;23;3;8;8;2.566.266.264;1
122.047.985;65;0;5;5;4.802.142.265;1
1.112.282.913;75;2;9;7;3.908.719.861;1
1.480.806.561;25;4;6;8;3.480.609.535;1
4.394.342.343;78;3;10;2;1.401.008.136;0
1.038.635.228;44;4;17;5;1.206.066.879;0
6.591.523.752;71;3;16;6;2.836.388.152;0
3.868.430.988;31;4;1;3;3.268.049.511;1
9.367.864.998;22;3;11;3;4.625.966.417;0
3.588.877.853;59;2;14;0;1.670.163.707;0
1.429.436.474;62;3;1;2;2.222.676.605;1
7.763.444.653;39;4;16;2;3.785.080.924;0
3.047.986.686;32;1;9;1;4.475.805.806;1
4.897.060.266;44;4;3;2;500000;1
5.742.565.076;34;3;16;2;1.001.414.186;0
3.381.323.216;32;4;12;4;3.807.594.711;1
4.346.595.266;79;3;11;4;3.056.357.217;0
2.950.227.521;73;2;18;7;3.262.201.284;0
3.307.538.364;64;2;13;8;8.093.628.401;0
5.174.385.768;42;2;19;8;2.331.745.004;1
8.207.185.363;37;3;14;2;8.153.314.727;0
135270.97;39;0;15;7;9.949.779.397;1
1.426.415.404;41;2;8;7;127900.6;1
1.260.443.852;26;2;2;1;1.131.700.659;1
5.201.606.066;68;4;11;8;1.935.985.375;0
1.161.843.174;57;4;20;5;4.727.576.667;0
120.265.442;52;2;18;3;9.826.174.286;0
2.106.860.387;67;1;12;0;7.524.805.204;1
1.424.430.239;80;3;14;2;2.170.565.673;1
1.408.385.331;53;2;12;1;4.662.910.429;1
2.224.257.266;48;1;20;4;2.332.377.063;1
1.413.713.985;57;2;20;3;6.758.350.787;1
1.347.757.078;43;1;17;4;4.108.109.561;1
1.069.229.616;46;2;8;3;2.963.614.239;0
418.643.411;60;3;15;5;5.811.538.434;1
1.229.894.859;37;1;20;8;2.279.051.129;1
9.990.258.369;71;0;9;4;2.820.611.136;1
5.238.986.608;54;0;15;8;4.309.557.821;1
7.939.267.683;74;2;1;2;3.293.533.819;1
5.088.906.737;20;1;14;4;2.587.439.115;0
7.479.492.271;76;4;2;6;4.128.149.437;1
5.789.479.151;51;1;5;2;2.378.744.637;1
135.945.736;50;3;13;1;2.387.059.121;1
9.668.921.987;54;2;10;3;4.874.815.287;0
6.876.276.949;23;3;5;2;1.148.433.943;0
1.225.517.236;49;4;6;7;3.025.198.818;0
7.554.284.898;43;2;20;4;2.824.575.975;0
9.769.981.786;44;0;5;2;2.478.410.204;0
1.113.518.974;60;3;14;1;7.352.524.482;0
8.958.820.479;57;4;2;8;135.932.529;0
5.562.178.875;27;1;10;2;1.758.728.005;1
9.865.100.161;78;2;1;7;4.191.495.199;1
5.580.312.968;57;1;19;0;405.650.112;1
1.357.359.405;57;1;18;7;2.621.960.391;1
2.684.150.521;62;2;10;3;8.719.619.052;0
1.139.794.842;50;0;15;1;3.460.360.698;0
4.815.701.149;29;1;4;7;1.859.759.986;0
1.171.854.423;22;4;11;8;4.591.013.155;1
9.830.796.132;70;0;3;4;1.761.216.993;1
9.458.128.116;53;4;19;6;4.626.726.022;0
4.599.989.628;27;1;7;3;4.571.947.733;1
1.443.193.392;44;2;1;0;2.100.685.642;1
1.285.102.701;25;4;20;0;2.861.414.123;1
8.868.166.785;50;0;6;3;4.824.513.143;0
8.308.542.169;27;4;14;2;3.479.135.229;0
4.465.518.338;48;0;11;0;1.556.361.568;1
6.342.214.887;61;3;1;6;6.164.892.554;0
6.619.507.727;21;2;1;7;2.987.092.934;0
5.942.649.474;40;1;11;5;1.353.685.119;0
6.508.338.662;74;0;11;2;1.851.907.403;0
4.850.056.561;49;2;13;8;4.418.607.399;1
1.335.517.754;32;0;1;5;1.250.964.503;1
8.348.076.569;58;4;8;8;2.581.726.584;0
1.016.168.309;71;2;19;6;2.877.624.035;1
4.071.290.078;56;4;17;8;3.802.801.481;1
8.514.033.195;66;4;11;5;3.557.183.632;1
5.068.445.393;65;1;8;1;309.260.858;0
2.191.840.956;30;2;10;3;2.328.454.677;1
3.565.034.077;37;2;8;5;2.020.440.247;1
1.207.628.232;57;0;9;2;161.888.201;0
2.807.426.707;68;2;11;6;3.366.413.402;0
1.343.692.194;43;4;17;8;4.541.083.981;1
720.726.261;74;1;1;5;310.383.499;0
3.358.274.637;41;2;5;4;309.469.165;1
5.250.898.305;41;4;12;7;1.127.192.392;1
1.255.072.909;39;2;6;8;4.326.057.892;1
3.145.696.591;75;3;6;7;1.871.755.396;0
574.175.416;67;2;11;8;2.456.292.758;0
1.284.436.006;52;0;6;6;3.654.145.558;1
4.384.493.066;20;1;7;1;2.336.175.816;1
7.713.716.111;63;0;16;6;1.136.835.695;0
1.237.394.464;29;3;4;3;2.248.368.225;1
3.973.610.098;60;1;18;6;1.573.708.702;0
447.237.072;63;0;1;7;4.444.652.063;0
433.434.613;29;2;20;8;5.271.967.423;1
871.558.692;51;0;7;6;1.849.966.453;0
559.840.958;59;1;15;1;1.291.096.003;0
3.722.775.332;27;1;13;2;2.837.187.395;1
9.336.593.752;59;1;13;1;1.656.260.304;0
3.935.694.958;45;1;7;8;1.631.753.107;1
1.174.164.027;69;2;1;4;8.834.045.875;1
9.619.472.257;63;2;18;7;2.976.861.947;1
8.661.735.541;49;0;3;5;0;0
2.485.723.896;67;0;17;1;1.153.438.228;1
1.474.331.786;62;0;5;2;3.054.002.687;1
7.748.879.907;67;3;9;1;2.156.828.421;0
1.237.552.725;46;2;15;7;3.030.859.041;0
1.422.487.374;62;3;15;1;1.217.257.695;1
8.367.528.827;50;3;16;2;1.525.461.431;0
5.372.367.165;42;2;10;2;3.711.350.093;1
1.138.809.272;54;1;20;4;2.367.053.322;0
473.446.611;50;4;10;8;1.105.163.746;1
1.224.982.133;57;0;4;7;3.935.152.137;0
2.138.234.857;65;1;8;1;4.347.883.632;1
2.035.859.768;76;4;16;6;3.301.971.132;1
509.772.587;67;0;6;4;5.590.780.182;0
7.025.168.358;68;1;3;4;1.814.392.043;0
4.193.488.511;31;4;18;2;2.671.032.679;1
1.042.906.306;40;1;18;4;3.619.855.942;0
2.544.166.705;69;2;11;7;0;0
9.441.925.634;67;2;12;6;205.764.289;1
3.666.660.357;77;0;8;0;8.796.513.491;0
1.248.197.593;58;4;6;1;3.570.893.782;0
1.157.433.083;72;2;7;3;3.947.124.933;1
145.579.842;60;4;12;7;1.237.438.056;1
30.731.856;67;3;12;6;4.603.253.039;0
761.944.807;24;2;1;3;3.862.308.884;0
8.448.572.201;53;3;16;4;350.939.807;0
6.906.041.857;62;4;15;4;1.755.093.498;0
1.476.645.478;59;0;14;2;2.598.772.238;1
1.081.348.989;62;0;17;1;4.090.780.066;1
1.061.355.539;64;3;4;0;3.807.426.539;1
150000;31;0;4;6;3.694.322.179;1
1.204.882.833;71;1;16;2;8.290.952.356;1
7.048.428.842;64;4;16;3;2.695.143.115;0
6.768.215.601;62;2;19;8;1.240.588.258;0
6.005.225.932;23;2;13;7;4.438.703.521;0
883.580.187;35;2;15;4;5.800.702.864;0
1.270.704.276;73;3;13;5;2.043.118.872;1
2.711.358.906;73;0;7;4;1.751.905.652;1
6.781.200.897;61;2;19;0;3.387.515.348;0
1.136.619.685;64;0;17;8;4.886.813.701;1
587.037.816;40;4;17;7;3.094.032.272;0
1.365.591.505;62;4;12;6;1.349.696.053;1
1.096.931.104;39;2;16;5;2.369.855.141;0
305.208.201;64;2;3;8;4.703.828.956;0
3.207.289.696;65;3;15;8;0;0
1.019.159.035;78;1;2;1;1.687.947.936;1
2.859.170.865;27;0;3;7;1.231.908.637;1
7.442.489.987;71;2;14;6;1.780.579.154;0
4.395.430.755;41;0;2;0;305.835.191;1
1.406.661.391;74;4;13;3;2.370.072.206;1
131.764.773;39;3;3;6;4.470.966.712;1
4.033.036.996;20;0;14;2;3.956.495.244;1
1.295.558.395;34;0;19;8;2.683.144.386;1
1.119.105.831;32;1;2;0;1.544.821.602;1
828.832.706;34;3;11;0;4.845.083.294;0
2.246.469.303;42;2;15;3;1.892.687.994;1
7.551.719.467;35;3;14;7;4.415.904.132;0
134.747.435;31;3;12;6;9.133.895.486;1
1.250.582.167;39;4;15;7;456.355.091;0
7.293.074.497;32;0;12;0;310391.17;0
1.447.295.232;52;1;12;0;1.473.808.855;1
3.596.365.397;39;0;20;1;8.301.015.218;1
4.631.991.603;67;0;11;5;232.188.204;0
1.300.847.315;50;2;18;0;2.398.953.137;1
6.651.332.576;55;2;17;8;4.629.896.786;1
2.049.218.899;30;4;16;3;2.078.476.398;1
9.534.705.695;41;3;1;5;4.406.641.779;0
5.821.996.658;36;1;8;5;1.033.875.698;0
1.097.039.173;54;2;5;4;5.091.320.158;0
3.426.894.607;60;3;13;0;2.444.951.729;0
7.494.990.618;57;3;3;6;1.519.141.405;1
1.374.438.435;74;3;13;6;298.857.295;1
1.355.246.908;70;3;11;5;3.755.293.419;1
1.179.434.244;51;4;9;6;472.659.997;0
1.080.416.603;22;0;18;2;4.048.581.033;1
150000;23;0;11;8;2.843.435.281;1
7.625.947.281;49;2;3;5;6.216.875.351;1
7.238.656.674;34;4;17;1;1.753.334.339;0
1.372.122.175;74;0;12;3;0;1
20000;32;4;3;2;1.532.242.065;1
7.792.528.065;40;3;12;5;1.684.278.284;0
141.473.956;53;4;3;1;2.293.241.906;1
6.543.577.839;39;2;8;6;1.381.346.882;1
8.696.712.615;46;4;13;2;4.031.224.687;0
3.944.495.719;48;3;5;7;5.504.958.511;1
1.174.161.721;38;4;19;4;4.682.397.293;0
8.289.342.192;71;0;3;4;0;1
1.030.973.636;24;0;18;5;4.999.376.398;1
5.555.782.551;76;3;15;6;4.974.983.499;0
4.481.359.928;63;0;15;0;1.261.352.913;0
8.168.168.733;76;4;10;2;2.917.137.229;1
2.419.785.408;20;3;11;6;1.300.223.926;1
1.366.109.443;64;3;12;3;3.033.833.254;1
4.059.440.433;50;3;20;1;4.290.415.292;1
9.013.782.453;72;3;1;3;500000;1
4.105.519.292;45;2;5;7;2.435.822.964;1
4.682.985.485;61;3;4;4;2.765.888.442;1
1.361.819.217;33;2;3;4;1.186.321.089;1
1.073.383.972;65;1;7;7;2.158.542.633;1
4.867.076.233;23;0;13;8;3.093.645.077;0
1.458.171.597;41;4;13;2;1.665.609.515;1
1.047.348.604;20;2;8;6;4.648.281.003;1
2.560.269.168;57;4;11;8;2.735.113.618;1
3.113.510.648;46;4;10;0;2.654.720.534;1
4.966.908.461;36;1;12;2;3.937.981.357;0
1.460.844.597;31;1;2;2;46.249.325;1
6.744.692.311;27;4;19;8;4.477.679.247;0
1.248.976.676;74;3;4;6;4.178.824.731;1
5.661.790.663;61;2;7;6;1.358.356.572;1
139.324.845;37;2;16;0;4.879.884.813;1
4.437.343.974;56;1;10;2;1.999.613.603;1
2.681.740.649;67;2;4;6;1.357.017.724;0
323.883.192;66;2;4;2;211.757.064;0
1.159.647.441;53;1;15;6;3.365.493.429;0
119.213.681;72;4;17;5;3.564.289.738;1
2.565.891.522;52;1;4;7;6.189.699.447;1
8.054.050.527;33;0;20;7;4.047.602.226;0
1.497.351.894;45;2;1;6;4.471.534.562;1
1.426.337.923;78;2;14;5;4.171.283.901;1
7.266.977.866;45;0;12;0;3.250.607.056;0
7.091.408.815;66;1;7;0;500000;0
2.296.837.906;55;0;11;1;4.719.493.255;1
1.153.763.401;45;2;9;2;4.205.042.204;0
8.960.004.692;37;1;20;6;3.626.115.932;0
20000;29;2;19;5;1.764.101.049;1
1.291.269.484;32;3;14;4;2.363.724.202;1
2.711.717.518;23;2;3;8;2.545.778.254;1
1.283.171.283;48;4;14;7;3.612.028.463;1
7.328.445.627;71;0;2;7;3.551.505.763;0
7.784.802.182;54;0;3;1;3.582.526.996;0
1.300.490.236;53;1;15;1;459.081.934;1
7.086.314.168;53;1;14;5;4.751.792.477;0
7.615.603.008;80;4;15;3;5.700.389.519;0
1.372.601.385;32;3;2;1;1.143.361.391;1
4.656.680.562;79;4;14;6;2.941.686.734;0
8.075.324.842;78;4;19;3;4.773.871.922;1
3.497.073.736;29;0;18;0;7.145.170.164;1
67.943.076;72;2;2;2;1.534.668.671;0
2.806.216.914;78;4;12;2;1.393.364.413;0
